InChI_Key_Planar	TAGS	NCBITaxonomy	UBERONBodyPartName	Lifestyle_Tag
PGQUPZCFLHXEHV	naturalproduct			
PGYAYSRVSAJXTE	|food|naturalproduct			food consumption
PHDNRQWSNXDWOT	bacterial|bacterial_produced			
PHEDXBVPIONUQT	naturalproduct			
PHEWILLIAJUBQE	|human|naturalproduct	9606|Homo sapiens		
PHHIEOZUONPPQY	naturalproduct			
PHHROXLDZHUIGO	naturalproduct			
PHIQHXFUZVPYII	human|drug|food|animal	:9606|Homo sapiens	blood|cerebrospinal fluid|feces|milk|saliva|urine	food consumption|drug or medication use
PHKSUFCCGLWIMC	naturalproduct			
PHKYZFGDNGACRM	|food|human|naturalproduct	9606|Homo sapiens		food consumption
PHLBKPHSAVXXEF	drug|human	9606|Homo sapiens		drug or medication use
PHLJPJICTIGOKC	naturalproduct			
PHMGTWLYHMQYHV	naturalproduct			
PHMHDRYYFAYWEG	food		saliva	
PHNGFPPXDJJADG	|food|human	9606|Homo sapiens		food consumption
PHOQVHQSTUBQQK	drug|food|human	9606|Homo sapiens		food consumption|drug or medication use
PHQCFARQBSPGHM	naturalproduct			
PHSRRHGYXQCRPU	drug|bacterial|bacterial_produced	920|Acidithiobacillus ferrooxidans:1148157|Acinetobacter oleivorans:374|Bradyrhizobium sp:not specified|Burkholderia phytofirmans:not specified|Burkholderia unamae:not specified|Burkholderia xenovorans:33996|Gluconacetobacter diazotrophicus:39844|Mesorhizobium tianshanense:287|Pseudomonas aeruginosa:303|Pseudomonas putida:676|Vibrio fluvialis:630|Yersinia enterocolitica:29486|Yersinia ruckeri		drug or medication use
PHVGLTMQBUFIQQ	drug|synthetic|human|animal	:9606|Homo sapiens	blood|urine|calcareous tooth|feces	mental depression|drug or medication use
PHWBOXQYWZNQIN	drug|human	9606|Homo sapiens		drug or medication use
